Relative Path,Modality,Vocal Channel,Emotion,Intensity,Statement,Repetition,Actor,Gender
audio_song/Actor_01/03-02-05-01-01-01-01.wav,audio-only,song,angry,normal,Kids are talking by the door,1st,01,Male
audio_song/Actor_01/03-02-05-01-01-02-01.wav,audio-only,song,angry,normal,Kids are talking by the door,2nd,01,Male
audio_song/Actor_01/03-02-05-01-02-01-01.wav,audio-only,song,angry,normal,Dogs are sitting by the door,1st,01,Male
audio_song/Actor_01/03-02-05-01-02-02-01.wav,audio-only,song,angry,normal,Dogs are sitting by the door,2nd,01,Male
audio_song/Actor_01/03-02-05-02-01-01-01.wav,audio-only,song,angry,strong,Kids are talking by the door,1st,01,Male
audio_song/Actor_01/03-02-05-02-01-02-01.wav,audio-only,song,angry,strong,Kids are talking by the door,2nd,01,Male
audio_song/Actor_01/03-02-05-02-02-01-01.wav,audio-only,song,angry,strong,Dogs are sitting by the door,1st,01,Male
audio_song/Actor_01/03-02-05-02-02-02-01.wav,audio-only,song,angry,strong,Dogs are sitting by the door,2nd,01,Male
audio_song/Actor_01/03-02-06-01-01-01-01.wav,audio-only,song,fearful,normal,Kids are talking by the door,1st,01,Male
audio_song/Actor_01/03-02-06-01-01-02-01.wav,audio-only,song,fearful,normal,Kids are talking by the door,2nd,01,Male
audio_song/Actor_01/03-02-06-01-02-01-01.wav,audio-only,song,fearful,normal,Dogs are sitting by the door,1st,01,Male
audio_song/Actor_01/03-02-06-01-02-02-01.wav,audio-only,song,fearful,normal,Dogs are sitting by the door,2nd,01,Male
audio_song/Actor_01/03-02-06-02-01-01-01.wav,audio-only,song,fearful,strong,Kids are talking by the door,1st,01,Male
audio_song/Actor_01/03-02-06-02-01-02-01.wav,audio-only,song,fearful,strong,Kids are talking by the door,2nd,01,Male
audio_song/Actor_01/03-02-06-02-02-01-01.wav,audio-only,song,fearful,strong,Dogs are sitting by the door,1st,01,Male
audio_song/Actor_01/03-02-06-02-02-02-01.wav,audio-only,song,fearful,strong,Dogs are sitting by the door,2nd,01,Male
audio_song/Actor_02/03-02-01-01-01-01-02.wav,audio-only,song,neutral,normal,Kids are talking by the door,1st,02,Female
audio_song/Actor_02/03-02-01-01-01-02-02.wav,audio-only,song,neutral,normal,Kids are talking by the door,2nd,02,Female
audio_song/Actor_02/03-02-01-01-02-01-02.wav,audio-only,song,neutral,normal,Dogs are sitting by the door,1st,02,Female
audio_song/Actor_02/03-02-01-01-02-02-02.wav,audio-only,song,neutral,normal,Dogs are sitting by the door,2nd,02,Female
audio_song/Actor_02/03-02-02-01-01-01-02.wav,audio-only,song,calm,normal,Kids are talking by the door,1st,02,Female
audio_song/Actor_02/03-02-02-01-01-02-02.wav,audio-only,song,calm,normal,Kids are talking by the door,2nd,02,Female
audio_song/Actor_02/03-02-02-01-02-01-02.wav,audio-only,song,calm,normal,Dogs are sitting by the door,1st,02,Female
audio_song/Actor_02/03-02-02-01-02-02-02.wav,audio-only,song,calm,normal,Dogs are sitting by the door,2nd,02,Female
audio_song/Actor_02/03-02-02-02-01-01-02.wav,audio-only,song,calm,strong,Kids are talking by the door,1st,02,Female
audio_song/Actor_02/03-02-02-02-01-02-02.wav,audio-only,song,calm,strong,Kids are talking by the door,2nd,02,Female
audio_song/Actor_02/03-02-02-02-02-01-02.wav,audio-only,song,calm,strong,Dogs are sitting by the door,1st,02,Female
audio_song/Actor_02/03-02-02-02-02-02-02.wav,audio-only,song,calm,strong,Dogs are sitting by the door,2nd,02,Female
audio_song/Actor_02/03-02-03-01-01-01-02.wav,audio-only,song,happy,normal,Kids are talking by the door,1st,02,Female
audio_song/Actor_02/03-02-03-01-01-02-02.wav,audio-only,song,happy,normal,Kids are talking by the door,2nd,02,Female
audio_song/Actor_02/03-02-03-01-02-01-02.wav,audio-only,song,happy,normal,Dogs are sitting by the door,1st,02,Female
audio_song/Actor_02/03-02-03-01-02-02-02.wav,audio-only,song,happy,normal,Dogs are sitting by the door,2nd,02,Female
audio_song/Actor_02/03-02-03-02-01-01-02.wav,audio-only,song,happy,strong,Kids are talking by the door,1st,02,Female
audio_song/Actor_02/03-02-03-02-01-02-02.wav,audio-only,song,happy,strong,Kids are talking by the door,2nd,02,Female
audio_song/Actor_02/03-02-03-02-02-01-02.wav,audio-only,song,happy,strong,Dogs are sitting by the door,1st,02,Female
audio_song/Actor_02/03-02-03-02-02-02-02.wav,audio-only,song,happy,strong,Dogs are sitting by the door,2nd,02,Female
audio_song/Actor_02/03-02-04-01-01-01-02.wav,audio-only,song,sad,normal,Kids are talking by the door,1st,02,Female
audio_song/Actor_02/03-02-04-01-01-02-02.wav,audio-only,song,sad,normal,Kids are talking by the door,2nd,02,Female
audio_song/Actor_02/03-02-04-01-02-01-02.wav,audio-only,song,sad,normal,Dogs are sitting by the door,1st,02,Female
audio_song/Actor_02/03-02-04-01-02-02-02.wav,audio-only,song,sad,normal,Dogs are sitting by the door,2nd,02,Female
audio_song/Actor_02/03-02-04-02-01-01-02.wav,audio-only,song,sad,strong,Kids are talking by the door,1st,02,Female
audio_song/Actor_02/03-02-04-02-01-02-02.wav,audio-only,song,sad,strong,Kids are talking by the door,2nd,02,Female
audio_song/Actor_02/03-02-04-02-02-01-02.wav,audio-only,song,sad,strong,Dogs are sitting by the door,1st,02,Female
audio_song/Actor_02/03-02-04-02-02-02-02.wav,audio-only,song,sad,strong,Dogs are sitting by the door,2nd,02,Female
audio_song/Actor_02/03-02-05-01-01-01-02.wav,audio-only,song,angry,normal,Kids are talking by the door,1st,02,Female
audio_song/Actor_02/03-02-05-01-01-02-02.wav,audio-only,song,angry,normal,Kids are talking by the door,2nd,02,Female
audio_song/Actor_02/03-02-05-01-02-01-02.wav,audio-only,song,angry,normal,Dogs are sitting by the door,1st,02,Female
audio_song/Actor_02/03-02-05-01-02-02-02.wav,audio-only,song,angry,normal,Dogs are sitting by the door,2nd,02,Female
audio_song/Actor_02/03-02-05-02-01-01-02.wav,audio-only,song,angry,strong,Kids are talking by the door,1st,02,Female
audio_song/Actor_02/03-02-05-02-01-02-02.wav,audio-only,song,angry,strong,Kids are talking by the door,2nd,02,Female
audio_song/Actor_02/03-02-05-02-02-01-02.wav,audio-only,song,angry,strong,Dogs are sitting by the door,1st,02,Female
audio_song/Actor_02/03-02-05-02-02-02-02.wav,audio-only,song,angry,strong,Dogs are sitting by the door,2nd,02,Female
audio_song/Actor_02/03-02-06-01-01-01-02.wav,audio-only,song,fearful,normal,Kids are talking by the door,1st,02,Female
audio_song/Actor_02/03-02-06-01-01-02-02.wav,audio-only,song,fearful,normal,Kids are talking by the door,2nd,02,Female
audio_song/Actor_02/03-02-06-01-02-01-02.wav,audio-only,song,fearful,normal,Dogs are sitting by the door,1st,02,Female
audio_song/Actor_02/03-02-06-01-02-02-02.wav,audio-only,song,fearful,normal,Dogs are sitting by the door,2nd,02,Female
audio_song/Actor_02/03-02-06-02-01-01-02.wav,audio-only,song,fearful,strong,Kids are talking by the door,1st,02,Female
audio_song/Actor_02/03-02-06-02-01-02-02.wav,audio-only,song,fearful,strong,Kids are talking by the door,2nd,02,Female
audio_song/Actor_02/03-02-06-02-02-01-02.wav,audio-only,song,fearful,strong,Dogs are sitting by the door,1st,02,Female
audio_song/Actor_02/03-02-06-02-02-02-02.wav,audio-only,song,fearful,strong,Dogs are sitting by the door,2nd,02,Female
audio_song/Actor_03/03-02-01-01-01-01-03.wav,audio-only,song,neutral,normal,Kids are talking by the door,1st,03,Male
audio_song/Actor_03/03-02-01-01-01-02-03.wav,audio-only,song,neutral,normal,Kids are talking by the door,2nd,03,Male
audio_song/Actor_03/03-02-01-01-02-01-03.wav,audio-only,song,neutral,normal,Dogs are sitting by the door,1st,03,Male
audio_song/Actor_03/03-02-01-01-02-02-03.wav,audio-only,song,neutral,normal,Dogs are sitting by the door,2nd,03,Male
audio_song/Actor_03/03-02-02-01-01-01-03.wav,audio-only,song,calm,normal,Kids are talking by the door,1st,03,Male
audio_song/Actor_03/03-02-02-01-01-02-03.wav,audio-only,song,calm,normal,Kids are talking by the door,2nd,03,Male
audio_song/Actor_03/03-02-02-01-02-01-03.wav,audio-only,song,calm,normal,Dogs are sitting by the door,1st,03,Male
audio_song/Actor_03/03-02-02-01-02-02-03.wav,audio-only,song,calm,normal,Dogs are sitting by the door,2nd,03,Male
audio_song/Actor_03/03-02-02-02-01-01-03.wav,audio-only,song,calm,strong,Kids are talking by the door,1st,03,Male
audio_song/Actor_03/03-02-02-02-01-02-03.wav,audio-only,song,calm,strong,Kids are talking by the door,2nd,03,Male
audio_song/Actor_03/03-02-02-02-02-01-03.wav,audio-only,song,calm,strong,Dogs are sitting by the door,1st,03,Male
audio_song/Actor_03/03-02-02-02-02-02-03.wav,audio-only,song,calm,strong,Dogs are sitting by the door,2nd,03,Male
audio_song/Actor_03/03-02-03-01-01-01-03.wav,audio-only,song,happy,normal,Kids are talking by the door,1st,03,Male
audio_song/Actor_03/03-02-03-01-01-02-03.wav,audio-only,song,happy,normal,Kids are talking by the door,2nd,03,Male
audio_song/Actor_03/03-02-03-01-02-01-03.wav,audio-only,song,happy,normal,Dogs are sitting by the door,1st,03,Male
audio_song/Actor_03/03-02-03-01-02-02-03.wav,audio-only,song,happy,normal,Dogs are sitting by the door,2nd,03,Male
audio_song/Actor_03/03-02-03-02-01-01-03.wav,audio-only,song,happy,strong,Kids are talking by the door,1st,03,Male
audio_song/Actor_03/03-02-03-02-01-02-03.wav,audio-only,song,happy,strong,Kids are talking by the door,2nd,03,Male
audio_song/Actor_03/03-02-03-02-02-01-03.wav,audio-only,song,happy,strong,Dogs are sitting by the door,1st,03,Male
audio_song/Actor_03/03-02-03-02-02-02-03.wav,audio-only,song,happy,strong,Dogs are sitting by the door,2nd,03,Male
audio_song/Actor_03/03-02-04-01-01-01-03.wav,audio-only,song,sad,normal,Kids are talking by the door,1st,03,Male
audio_song/Actor_03/03-02-04-01-01-02-03.wav,audio-only,song,sad,normal,Kids are talking by the door,2nd,03,Male
audio_song/Actor_03/03-02-04-01-02-01-03.wav,audio-only,song,sad,normal,Dogs are sitting by the door,1st,03,Male
audio_song/Actor_03/03-02-04-01-02-02-03.wav,audio-only,song,sad,normal,Dogs are sitting by the door,2nd,03,Male
audio_song/Actor_03/03-02-04-02-01-01-03.wav,audio-only,song,sad,strong,Kids are talking by the door,1st,03,Male
audio_song/Actor_03/03-02-04-02-01-02-03.wav,audio-only,song,sad,strong,Kids are talking by the door,2nd,03,Male
audio_song/Actor_03/03-02-04-02-02-01-03.wav,audio-only,song,sad,strong,Dogs are sitting by the door,1st,03,Male
audio_song/Actor_03/03-02-04-02-02-02-03.wav,audio-only,song,sad,strong,Dogs are sitting by the door,2nd,03,Male
audio_song/Actor_03/03-02-05-01-01-01-03.wav,audio-only,song,angry,normal,Kids are talking by the door,1st,03,Male
audio_song/Actor_03/03-02-05-01-01-02-03.wav,audio-only,song,angry,normal,Kids are talking by the door,2nd,03,Male
audio_song/Actor_03/03-02-05-01-02-01-03.wav,audio-only,song,angry,normal,Dogs are sitting by the door,1st,03,Male
audio_song/Actor_03/03-02-05-01-02-02-03.wav,audio-only,song,angry,normal,Dogs are sitting by the door,2nd,03,Male
audio_song/Actor_03/03-02-05-02-01-01-03.wav,audio-only,song,angry,strong,Kids are talking by the door,1st,03,Male
audio_song/Actor_03/03-02-05-02-01-02-03.wav,audio-only,song,angry,strong,Kids are talking by the door,2nd,03,Male
audio_song/Actor_03/03-02-05-02-02-01-03.wav,audio-only,song,angry,strong,Dogs are sitting by the door,1st,03,Male
audio_song/Actor_03/03-02-05-02-02-02-03.wav,audio-only,song,angry,strong,Dogs are sitting by the door,2nd,03,Male
audio_song/Actor_03/03-02-06-01-01-01-03.wav,audio-only,song,fearful,normal,Kids are talking by the door,1st,03,Male
audio_song/Actor_03/03-02-06-01-01-02-03.wav,audio-only,song,fearful,normal,Kids are talking by the door,2nd,03,Male
audio_song/Actor_03/03-02-06-01-02-01-03.wav,audio-only,song,fearful,normal,Dogs are sitting by the door,1st,03,Male
audio_song/Actor_03/03-02-06-01-02-02-03.wav,audio-only,song,fearful,normal,Dogs are sitting by the door,2nd,03,Male
audio_song/Actor_03/03-02-06-02-01-01-03.wav,audio-only,song,fearful,strong,Kids are talking by the door,1st,03,Male
audio_song/Actor_03/03-02-06-02-01-02-03.wav,audio-only,song,fearful,strong,Kids are talking by the door,2nd,03,Male
audio_song/Actor_03/03-02-06-02-02-01-03.wav,audio-only,song,fearful,strong,Dogs are sitting by the door,1st,03,Male
audio_song/Actor_03/03-02-06-02-02-02-03.wav,audio-only,song,fearful,strong,Dogs are sitting by the door,2nd,03,Male
audio_song/Actor_04/03-02-01-01-01-01-04.wav,audio-only,song,neutral,normal,Kids are talking by the door,1st,04,Female
audio_song/Actor_04/03-02-01-01-01-02-04.wav,audio-only,song,neutral,normal,Kids are talking by the door,2nd,04,Female
audio_song/Actor_04/03-02-01-01-02-01-04.wav,audio-only,song,neutral,normal,Dogs are sitting by the door,1st,04,Female
audio_song/Actor_04/03-02-01-01-02-02-04.wav,audio-only,song,neutral,normal,Dogs are sitting by the door,2nd,04,Female
audio_song/Actor_04/03-02-02-01-01-01-04.wav,audio-only,song,calm,normal,Kids are talking by the door,1st,04,Female
audio_song/Actor_04/03-02-02-01-01-02-04.wav,audio-only,song,calm,normal,Kids are talking by the door,2nd,04,Female
audio_song/Actor_04/03-02-02-01-02-01-04.wav,audio-only,song,calm,normal,Dogs are sitting by the door,1st,04,Female
audio_song/Actor_04/03-02-02-01-02-02-04.wav,audio-only,song,calm,normal,Dogs are sitting by the door,2nd,04,Female
audio_song/Actor_04/03-02-02-02-01-01-04.wav,audio-only,song,calm,strong,Kids are talking by the door,1st,04,Female
audio_song/Actor_04/03-02-02-02-01-02-04.wav,audio-only,song,calm,strong,Kids are talking by the door,2nd,04,Female
audio_song/Actor_04/03-02-02-02-02-01-04.wav,audio-only,song,calm,strong,Dogs are sitting by the door,1st,04,Female
audio_song/Actor_04/03-02-02-02-02-02-04.wav,audio-only,song,calm,strong,Dogs are sitting by the door,2nd,04,Female
audio_song/Actor_04/03-02-03-01-01-01-04.wav,audio-only,song,happy,normal,Kids are talking by the door,1st,04,Female
audio_song/Actor_04/03-02-03-01-01-02-04.wav,audio-only,song,happy,normal,Kids are talking by the door,2nd,04,Female
audio_song/Actor_04/03-02-03-01-02-01-04.wav,audio-only,song,happy,normal,Dogs are sitting by the door,1st,04,Female
audio_song/Actor_04/03-02-03-01-02-02-04.wav,audio-only,song,happy,normal,Dogs are sitting by the door,2nd,04,Female
audio_song/Actor_04/03-02-03-02-01-01-04.wav,audio-only,song,happy,strong,Kids are talking by the door,1st,04,Female
audio_song/Actor_04/03-02-03-02-01-02-04.wav,audio-only,song,happy,strong,Kids are talking by the door,2nd,04,Female
audio_song/Actor_04/03-02-03-02-02-01-04.wav,audio-only,song,happy,strong,Dogs are sitting by the door,1st,04,Female
audio_song/Actor_04/03-02-03-02-02-02-04.wav,audio-only,song,happy,strong,Dogs are sitting by the door,2nd,04,Female
audio_song/Actor_04/03-02-04-01-01-01-04.wav,audio-only,song,sad,normal,Kids are talking by the door,1st,04,Female
audio_song/Actor_04/03-02-04-01-01-02-04.wav,audio-only,song,sad,normal,Kids are talking by the door,2nd,04,Female
audio_song/Actor_04/03-02-04-01-02-01-04.wav,audio-only,song,sad,normal,Dogs are sitting by the door,1st,04,Female
audio_song/Actor_04/03-02-04-01-02-02-04.wav,audio-only,song,sad,normal,Dogs are sitting by the door,2nd,04,Female
audio_song/Actor_04/03-02-04-02-01-01-04.wav,audio-only,song,sad,strong,Kids are talking by the door,1st,04,Female
audio_song/Actor_04/03-02-04-02-01-02-04.wav,audio-only,song,sad,strong,Kids are talking by the door,2nd,04,Female
audio_song/Actor_04/03-02-04-02-02-01-04.wav,audio-only,song,sad,strong,Dogs are sitting by the door,1st,04,Female
audio_song/Actor_04/03-02-04-02-02-02-04.wav,audio-only,song,sad,strong,Dogs are sitting by the door,2nd,04,Female
audio_song/Actor_04/03-02-05-01-01-01-04.wav,audio-only,song,angry,normal,Kids are talking by the door,1st,04,Female
audio_song/Actor_04/03-02-05-01-01-02-04.wav,audio-only,song,angry,normal,Kids are talking by the door,2nd,04,Female
audio_song/Actor_04/03-02-05-01-02-01-04.wav,audio-only,song,angry,normal,Dogs are sitting by the door,1st,04,Female
audio_song/Actor_04/03-02-05-01-02-02-04.wav,audio-only,song,angry,normal,Dogs are sitting by the door,2nd,04,Female
audio_song/Actor_04/03-02-05-02-01-01-04.wav,audio-only,song,angry,strong,Kids are talking by the door,1st,04,Female
audio_song/Actor_04/03-02-05-02-01-02-04.wav,audio-only,song,angry,strong,Kids are talking by the door,2nd,04,Female
audio_song/Actor_04/03-02-05-02-02-01-04.wav,audio-only,song,angry,strong,Dogs are sitting by the door,1st,04,Female
audio_song/Actor_04/03-02-05-02-02-02-04.wav,audio-only,song,angry,strong,Dogs are sitting by the door,2nd,04,Female
audio_song/Actor_04/03-02-06-01-01-01-04.wav,audio-only,song,fearful,normal,Kids are talking by the door,1st,04,Female
audio_song/Actor_04/03-02-06-01-01-02-04.wav,audio-only,song,fearful,normal,Kids are talking by the door,2nd,04,Female
audio_song/Actor_04/03-02-06-01-02-01-04.wav,audio-only,song,fearful,normal,Dogs are sitting by the door,1st,04,Female
audio_song/Actor_04/03-02-06-01-02-02-04.wav,audio-only,song,fearful,normal,Dogs are sitting by the door,2nd,04,Female
audio_song/Actor_04/03-02-06-02-01-01-04.wav,audio-only,song,fearful,strong,Kids are talking by the door,1st,04,Female
audio_song/Actor_04/03-02-06-02-01-02-04.wav,audio-only,song,fearful,strong,Kids are talking by the door,2nd,04,Female
audio_song/Actor_04/03-02-06-02-02-01-04.wav,audio-only,song,fearful,strong,Dogs are sitting by the door,1st,04,Female
audio_song/Actor_04/03-02-06-02-02-02-04.wav,audio-only,song,fearful,strong,Dogs are sitting by the door,2nd,04,Female
audio_song/Actor_05/03-02-01-01-01-01-05.wav,audio-only,song,neutral,normal,Kids are talking by the door,1st,05,Male
audio_song/Actor_05/03-02-01-01-01-02-05.wav,audio-only,song,neutral,normal,Kids are talking by the door,2nd,05,Male
audio_song/Actor_05/03-02-01-01-02-01-05.wav,audio-only,song,neutral,normal,Dogs are sitting by the door,1st,05,Male
audio_song/Actor_05/03-02-01-01-02-02-05.wav,audio-only,song,neutral,normal,Dogs are sitting by the door,2nd,05,Male
audio_song/Actor_05/03-02-02-01-01-01-05.wav,audio-only,song,calm,normal,Kids are talking by the door,1st,05,Male
audio_song/Actor_05/03-02-02-01-01-02-05.wav,audio-only,song,calm,normal,Kids are talking by the door,2nd,05,Male
audio_song/Actor_05/03-02-02-01-02-01-05.wav,audio-only,song,calm,normal,Dogs are sitting by the door,1st,05,Male
audio_song/Actor_05/03-02-02-01-02-02-05.wav,audio-only,song,calm,normal,Dogs are sitting by the door,2nd,05,Male
audio_song/Actor_05/03-02-02-02-01-01-05.wav,audio-only,song,calm,strong,Kids are talking by the door,1st,05,Male
audio_song/Actor_05/03-02-02-02-01-02-05.wav,audio-only,song,calm,strong,Kids are talking by the door,2nd,05,Male
audio_song/Actor_05/03-02-02-02-02-01-05.wav,audio-only,song,calm,strong,Dogs are sitting by the door,1st,05,Male
audio_song/Actor_05/03-02-02-02-02-02-05.wav,audio-only,song,calm,strong,Dogs are sitting by the door,2nd,05,Male
audio_song/Actor_05/03-02-03-01-01-01-05.wav,audio-only,song,happy,normal,Kids are talking by the door,1st,05,Male
audio_song/Actor_05/03-02-03-01-01-02-05.wav,audio-only,song,happy,normal,Kids are talking by the door,2nd,05,Male
audio_song/Actor_05/03-02-03-01-02-01-05.wav,audio-only,song,happy,normal,Dogs are sitting by the door,1st,05,Male
audio_song/Actor_05/03-02-03-01-02-02-05.wav,audio-only,song,happy,normal,Dogs are sitting by the door,2nd,05,Male
audio_song/Actor_05/03-02-03-02-01-01-05.wav,audio-only,song,happy,strong,Kids are talking by the door,1st,05,Male
audio_song/Actor_05/03-02-03-02-01-02-05.wav,audio-only,song,happy,strong,Kids are talking by the door,2nd,05,Male
audio_song/Actor_05/03-02-03-02-02-01-05.wav,audio-only,song,happy,strong,Dogs are sitting by the door,1st,05,Male
audio_song/Actor_05/03-02-03-02-02-02-05.wav,audio-only,song,happy,strong,Dogs are sitting by the door,2nd,05,Male
audio_song/Actor_05/03-02-04-01-01-01-05.wav,audio-only,song,sad,normal,Kids are talking by the door,1st,05,Male
audio_song/Actor_05/03-02-04-01-01-02-05.wav,audio-only,song,sad,normal,Kids are talking by the door,2nd,05,Male
audio_song/Actor_05/03-02-04-01-02-01-05.wav,audio-only,song,sad,normal,Dogs are sitting by the door,1st,05,Male
audio_song/Actor_05/03-02-04-01-02-02-05.wav,audio-only,song,sad,normal,Dogs are sitting by the door,2nd,05,Male
audio_song/Actor_05/03-02-04-02-01-01-05.wav,audio-only,song,sad,strong,Kids are talking by the door,1st,05,Male
audio_song/Actor_05/03-02-04-02-01-02-05.wav,audio-only,song,sad,strong,Kids are talking by the door,2nd,05,Male
audio_song/Actor_05/03-02-04-02-02-01-05.wav,audio-only,song,sad,strong,Dogs are sitting by the door,1st,05,Male
audio_song/Actor_05/03-02-04-02-02-02-05.wav,audio-only,song,sad,strong,Dogs are sitting by the door,2nd,05,Male
audio_song/Actor_05/03-02-05-01-01-01-05.wav,audio-only,song,angry,normal,Kids are talking by the door,1st,05,Male
audio_song/Actor_05/03-02-05-01-01-02-05.wav,audio-only,song,angry,normal,Kids are talking by the door,2nd,05,Male
audio_song/Actor_05/03-02-05-01-02-01-05.wav,audio-only,song,angry,normal,Dogs are sitting by the door,1st,05,Male
audio_song/Actor_05/03-02-05-01-02-02-05.wav,audio-only,song,angry,normal,Dogs are sitting by the door,2nd,05,Male
audio_song/Actor_05/03-02-05-02-01-01-05.wav,audio-only,song,angry,strong,Kids are talking by the door,1st,05,Male
audio_song/Actor_05/03-02-05-02-01-02-05.wav,audio-only,song,angry,strong,Kids are talking by the door,2nd,05,Male
audio_song/Actor_05/03-02-05-02-02-01-05.wav,audio-only,song,angry,strong,Dogs are sitting by the door,1st,05,Male
audio_song/Actor_05/03-02-05-02-02-02-05.wav,audio-only,song,angry,strong,Dogs are sitting by the door,2nd,05,Male
audio_song/Actor_05/03-02-06-01-01-01-05.wav,audio-only,song,fearful,normal,Kids are talking by the door,1st,05,Male
audio_song/Actor_05/03-02-06-01-01-02-05.wav,audio-only,song,fearful,normal,Kids are talking by the door,2nd,05,Male
audio_song/Actor_05/03-02-06-01-02-01-05.wav,audio-only,song,fearful,normal,Dogs are sitting by the door,1st,05,Male
audio_song/Actor_05/03-02-06-01-02-02-05.wav,audio-only,song,fearful,normal,Dogs are sitting by the door,2nd,05,Male
audio_song/Actor_05/03-02-06-02-01-01-05.wav,audio-only,song,fearful,strong,Kids are talking by the door,1st,05,Male
audio_song/Actor_05/03-02-06-02-01-02-05.wav,audio-only,song,fearful,strong,Kids are talking by the door,2nd,05,Male
audio_song/Actor_05/03-02-06-02-02-01-05.wav,audio-only,song,fearful,strong,Dogs are sitting by the door,1st,05,Male
audio_song/Actor_05/03-02-06-02-02-02-05.wav,audio-only,song,fearful,strong,Dogs are sitting by the door,2nd,05,Male
audio_song/Actor_06/03-02-01-01-01-01-06.wav,audio-only,song,neutral,normal,Kids are talking by the door,1st,06,Female
audio_song/Actor_06/03-02-01-01-01-02-06.wav,audio-only,song,neutral,normal,Kids are talking by the door,2nd,06,Female
audio_song/Actor_06/03-02-01-01-02-01-06.wav,audio-only,song,neutral,normal,Dogs are sitting by the door,1st,06,Female
audio_song/Actor_06/03-02-01-01-02-02-06.wav,audio-only,song,neutral,normal,Dogs are sitting by the door,2nd,06,Female
audio_song/Actor_06/03-02-02-01-01-01-06.wav,audio-only,song,calm,normal,Kids are talking by the door,1st,06,Female
audio_song/Actor_06/03-02-02-01-01-02-06.wav,audio-only,song,calm,normal,Kids are talking by the door,2nd,06,Female
audio_song/Actor_06/03-02-02-01-02-01-06.wav,audio-only,song,calm,normal,Dogs are sitting by the door,1st,06,Female
audio_song/Actor_06/03-02-02-01-02-02-06.wav,audio-only,song,calm,normal,Dogs are sitting by the door,2nd,06,Female
